title,price,link
"MSI Titan 18 HX, Intel 14th Gen. i9-14900HX, 46CM UHD+ MiniLED 120Hz Gaming Laptop (128GB/4TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4090, GDDR6 16GB/Core Black/3.6Kg), A14VIG-201IN  ","5,49,990",https://amazon.in//MSI-i9-14900HX-MiniLED-Windows-A14VIG-201IN/dp/B0CTTJK7JB/ref=sr_1_84?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-84
"(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor, 32 GB Ram & 256 GB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Nvidia Quadro M1000M (2GB Graphic Card) Laptop  ","38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NDc4MzYwMzU5ODU2MTgzOjE3MjU4MDE4MjU6c3BfYnRmOjMwMDIxMDMyNzg2NTIzMjo6MDo6&url=%2FRefurbished-Dell-Precision-7510-Intel%2Fdp%2FB0CZDMFM48%2Fref%3Dsr_1_85_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801825%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Audient EVO 8 4x4 Professional USB Audio Interface with 4 EVO Preamps, 2 Stereo Speaker Outputs, 2 Headphone Outputs, SmartGain, JFET Instrument Input, Audio Loopback for Live Streaming & Free Recording Software Bundle  ","19,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NDc4MzYwMzU5ODU2MTgzOjE3MjU4MDE4MjU6c3BfYnRmOjIwMDM0OTUwNzMyMjk4OjowOjo&url=%2FAudient-EVO-4x4-Audio-Interface%2Fdp%2FB08DVDJWDT%2Fref%3Dsr_1_86_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801825%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"OJOS Screen Protector Film Anti Glare For Macbook Air 13 Inch A2337 M1 A2179 A1932,Macbook Pro 13 Inch M2 M1 A2338 A2289 A2251 A2159 A1989 A1706 A1708, Matte  ",399,https://amazon.in//gp/bestsellers/computers/1375317031/ref=sr_bs_11_1375317031_1
"MOKOBARA The EM Travel 45L Premium 16"" Unisex Multipurpose Backpack (Crypto)  ","6,999",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTUxNzIzOTEwODMzMjMzOjE3MjU4MDE5MTc6c3BfYXRmX25leHQ6MzAwMjQ2OTY0OTc2OTMyOjowOjo&url=%2FMOKOBARA-Em-Travel-Backpack-All-Purpose%2Fdp%2FB0C85B2SPN%2Fref%3Dsr_1_81_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.PpTu_wHVvROmNTOy-D8C0d2uYvbtcwxIHpWMKQADQOw5KNd2DykMiosoa6p1KRMvngGQ_E9b0KGxJ43rb7zfmRh0LdZb8bvfSKlc5SDU-3U_XQQDIov1idoxLwz4pFYs6OYtPCtUH7o0HzUqDCyuwM6eoY42wrKGo3uoU0JUz68zC2QQ22aOveK8Xilb02C5jyO_iNhlyoJdOXegEiZ4UEdV1q6zSelVb4RgAupDW58.Uti0xWWnK-LPydUhIjRPX_YAQZbGaZH5RA-p6QBNoTY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801916%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"(Refurbished) Lenovo ThinkPad P50 Intel Core i7-6820HQ Quad Core Processor Nvidia M1000M 4GB Graphic Laptop (16 GB DDR4 RAM/512 GB SSD/15.6"" (39.62 cm) FHD (1080p)/Windows 10/WiFi/Bluetooth/Webcam)  ","35,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTUxNzIzOTEwODMzMjMzOjE3MjU4MDE5MTc6c3BfYXRmX25leHQ6MzAwMjYwODE4ODM2OTMyOjowOjo&url=%2FRefurbished-Lenovo-i7-6820HQ-Processor-Bluetooth%2Fdp%2FB0D9KLNSZ5%2Fref%3Dsr_1_82_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.PpTu_wHVvROmNTOy-D8C0d2uYvbtcwxIHpWMKQADQOw5KNd2DykMiosoa6p1KRMvngGQ_E9b0KGxJ43rb7zfmRh0LdZb8bvfSKlc5SDU-3U_XQQDIov1idoxLwz4pFYs6OYtPCtUH7o0HzUqDCyuwM6eoY42wrKGo3uoU0JUz68zC2QQ22aOveK8Xilb02C5jyO_iNhlyoJdOXegEiZ4UEdV1q6zSelVb4RgAupDW58.Uti0xWWnK-LPydUhIjRPX_YAQZbGaZH5RA-p6QBNoTY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801916%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"(Refurbished) Lenovo ThinkPad L480 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)  ","19,310",https://amazon.in//Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0CM21TQ3W/ref=sr_1_83?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.PpTu_wHVvROmNTOy-D8C0d2uYvbtcwxIHpWMKQADQOw5KNd2DykMiosoa6p1KRMvngGQ_E9b0KGxJ43rb7zfmRh0LdZb8bvfSKlc5SDU-3U_XQQDIov1idoxLwz4pFYs6OYtPCtUH7o0HzUqDCyuwM6eoY42wrKGo3uoU0JUz68zC2QQ22aOveK8Xilb02C5jyO_iNhlyoJdOXegEiZ4UEdV1q6zSelVb4RgAupDW58.Uti0xWWnK-LPydUhIjRPX_YAQZbGaZH5RA-p6QBNoTY&dib_tag=se&keywords=laptop&qid=1725801916&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-83
"Lenovo ThinkPad P15v AMD Ryzen 7 Pro 6850H 15.6""(39.62cm) FHD (1920x1080) IPS 300 Nits Thin and Light Laptop(32GB RAM/1TB SSD/Win 11 Pro/NVIDIA T600 4GB/Backlit Keyboard/FPR/Black/2.26 kg), 21ENS0MV00  ","1,07,000",https://amazon.in//Lenovo-ThinkPad-1920x1080-Keyboard-21ENS0MV00/dp/B0D8SS7PST/ref=sr_1_84?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.PpTu_wHVvROmNTOy-D8C0d2uYvbtcwxIHpWMKQADQOw5KNd2DykMiosoa6p1KRMvngGQ_E9b0KGxJ43rb7zfmRh0LdZb8bvfSKlc5SDU-3U_XQQDIov1idoxLwz4pFYs6OYtPCtUH7o0HzUqDCyuwM6eoY42wrKGo3uoU0JUz68zC2QQ22aOveK8Xilb02C5jyO_iNhlyoJdOXegEiZ4UEdV1q6zSelVb4RgAupDW58.Uti0xWWnK-LPydUhIjRPX_YAQZbGaZH5RA-p6QBNoTY&dib_tag=se&keywords=laptop&qid=1725801916&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-84
"Acer Aspire 3 Intel Core i5-1235U Processor Laptop with 35.56 cm (14"") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/Wifi 6/Intel Graphics/Win11Home) A324-51, Backlit Keyboard, Steel Gray, 1.45KG  ","43,990",https://amazon.in//Acer-Processor-LED-Backlit-Win11Home-A324-51/dp/B0D9QLPY8B/ref=sr_1_85?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.PpTu_wHVvROmNTOy-D8C0d2uYvbtcwxIHpWMKQADQOw5KNd2DykMiosoa6p1KRMvngGQ_E9b0KGxJ43rb7zfmRh0LdZb8bvfSKlc5SDU-3U_XQQDIov1idoxLwz4pFYs6OYtPCtUH7o0HzUqDCyuwM6eoY42wrKGo3uoU0JUz68zC2QQ22aOveK8Xilb02C5jyO_iNhlyoJdOXegEiZ4UEdV1q6zSelVb4RgAupDW58.Uti0xWWnK-LPydUhIjRPX_YAQZbGaZH5RA-p6QBNoTY&dib_tag=se&keywords=laptop&qid=1725801916&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-85
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FGIN  ","35,990",https://amazon.in//Lenovo-IdeaPad-i3-1215U-Windows-82RJ00FGIN/dp/B0D7ZZGWLB/ref=sr_1_86?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.PpTu_wHVvROmNTOy-D8C0d2uYvbtcwxIHpWMKQADQOw5KNd2DykMiosoa6p1KRMvngGQ_E9b0KGxJ43rb7zfmRh0LdZb8bvfSKlc5SDU-3U_XQQDIov1idoxLwz4pFYs6OYtPCtUH7o0HzUqDCyuwM6eoY42wrKGo3uoU0JUz68zC2QQ22aOveK8Xilb02C5jyO_iNhlyoJdOXegEiZ4UEdV1q6zSelVb4RgAupDW58.Uti0xWWnK-LPydUhIjRPX_YAQZbGaZH5RA-p6QBNoTY&dib_tag=se&keywords=laptop&qid=1725801916&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-86
